"check_in_date","number_of_bookings","daily_revenue","total_guests"
"2022-05-01","2005","25357111.00","4058"
"2022-05-02","1388","17408806.00","2830"
"2022-05-03","1385","17534188.00","2826"
"2022-05-04","1386","17332054.00","2759"
"2022-05-05","1413","17901036.00","2919"
"2022-05-06","1398","17426886.00","2854"
"2022-05-07","1990","25221983.00","4006"
"2022-05-08","2013","25697319.00","4130"
"2022-05-09","1391","17537981.00","2797"
"2022-05-10","1395","17696996.00","2850"
"2022-05-11","1405","17926708.00","2833"
"2022-05-12","1381","17475385.00","2864"
"2022-05-13","1387","17863051.00","2786"
"2022-05-14","1986","25238480.00","4101"
"2022-05-15","1662","21077176.00","3319"
"2022-05-16","1150","14766860.00","2408"
"2022-05-17","1132","14320823.00","2274"
"2022-05-18","1138","14193461.00","2268"
"2022-05-19","1161","14675925.00","2344"
"2022-05-20","1148","14658169.00","2378"
"2022-05-21","1651","21229761.00","3411"
"2022-05-22","1997","25421514.00","4041"
"2022-05-23","1400","17860229.00","2821"
"2022-05-24","1379","17253458.00","2854"
"2022-05-25","1392","17813322.00","2837"
"2022-05-26","1369","17437433.00","2833"
"2022-05-27","1387","17728989.00","2803"
"2022-05-28","2010","25205181.00","4089"
"2022-05-29","1676","21287693.00","3349"
"2022-05-30","1155","14773230.00","2413"
"2022-05-31","1152","14609458.00","2279"
"2022-06-01","1141","14432416.00","2353"
"2022-06-02","1161","14712292.00","2374"
"2022-06-03","1155","14497357.00","2331"
"2022-06-04","1649","21256123.00","3328"
"2022-06-05","2011","25577377.00","4094"
"2022-06-06","1403","17719317.00","2852"
"2022-06-07","1410","17548697.00","2860"
"2022-06-08","1396","17601536.00","2865"
"2022-06-09","1388","17422043.00","2804"
"2022-06-10","1416","17925581.00","2893"
"2022-06-11","2017","25787152.00","4078"
"2022-06-12","1992","25164249.00","3962"
"2022-06-13","1400","18016112.00","2837"
"2022-06-14","1387","17622005.00","2896"
"2022-06-15","1390","17589472.00","2899"
"2022-06-16","1373","17511010.00","2772"
"2022-06-17","1387","17474598.00","2875"
"2022-06-18","2014","25296833.00","4153"
"2022-06-19","1650","20954649.00","3360"
"2022-06-20","1155","14555813.00","2355"
"2022-06-21","1149","14706959.00","2333"
"2022-06-22","1138","14269190.00","2265"
"2022-06-23","1127","14268898.00","2293"
"2022-06-24","1147","14463562.00","2354"
"2022-06-25","1651","20933350.00","3345"
"2022-06-26","2007","25648171.00","4075"
"2022-06-27","1383","17419407.00","2812"
"2022-06-28","1384","17956900.00","2916"
"2022-06-29","1410","17951969.00","2935"
"2022-06-30","1392","17649317.00","2808"
"2022-07-01","1397","17517837.00","2870"
"2022-07-02","1989","25412031.00","4001"
"2022-07-03","2005","25582527.00","4155"
"2022-07-04","1381","17597444.00","2816"
"2022-07-05","1384","17483015.00","2741"
"2022-07-06","1393","17756811.00","2824"
"2022-07-07","1393","17507816.00","2889"
"2022-07-08","1383","17879032.00","2841"
"2022-07-09","1990","25577271.00","3972"
"2022-07-10","2009","25413043.00","4055"
"2022-07-11","1403","17646334.00","2904"
"2022-07-12","1388","17807771.00","2799"
"2022-07-13","1400","17589828.00","2863"
"2022-07-14","1416","17868187.00","2889"
"2022-07-15","1385","17510890.00","2809"
"2022-07-16","2017","25894537.00","4135"
"2022-07-17","1646","20842514.00","3460"
"2022-07-18","1143","14581282.00","2343"
"2022-07-19","1120","14296283.00","2290"
"2022-07-20","1148","14413797.00","2345"
"2022-07-21","1140","14602998.00","2314"
"2022-07-22","1159","14885108.00","2328"
"2022-07-23","1664","21189166.00","3402"
"2022-07-24","1635","20810402.00","3316"
"2022-07-25","1149","14617212.00","2424"
"2022-07-26","1146","14611219.00","2309"
"2022-07-27","1139","14438063.00","2270"
"2022-07-28","1155","14679184.00","2382"
"2022-07-29","1159","14904772.00","2334"
"2022-07-30","1638","20981473.00","3314"
"2022-07-31","1651","21010361.00","3329"
