"room_category","booking_platform","total_bookings","cancelled_bookings","cancellation_rate","avg_recovery_rate"
"RT3","journey","1807","473","26.18","40.00"
"RT1","tripster","2729","696","25.50","40.00"
"RT4","makeyourtrip","3250","826","25.42","40.00"
"RT3","direct offline","1560","396","25.38","40.00"
"RT4","journey","978","248","25.36","40.00"
"RT2","direct online","4963","1254","25.27","40.00"
"RT2","makeyourtrip","9994","2515","25.17","40.00"
"RT2","others","20099","5034","25.05","40.00"
"RT1","others","15777","3941","24.98","40.00"
"RT2","tripster","3508","876","24.97","40.00"
"RT4","tripster","1176","293","24.91","40.00"
"RT3","direct online","2979","742","24.91","40.00"
"RT1","direct online","3884","966","24.87","40.00"
"RT3","makeyourtrip","6058","1506","24.86","40.00"
"RT3","others","12633","3141","24.86","40.00"
"RT1","makeyourtrip","7596","1875","24.68","40.00"
"RT2","direct offline","2428","599","24.67","40.00"
"RT4","direct online","1553","382","24.60","40.00"
"RT1","logtrip","4185","1027","24.54","40.00"
"RT3","tripster","2217","542","24.45","40.00"
"RT2","logtrip","5548","1356","24.44","40.00"
"RT2","journey","2965","723","24.38","40.00"
"RT3","logtrip","3312","805","24.31","40.00"
"RT4","others","6557","1582","24.13","40.00"
"RT1","journey","2356","565","23.98","40.00"
"RT1","direct offline","1919","460","23.97","40.00"
"RT4","direct offline","848","199","23.47","40.00"
"RT4","logtrip","1711","398","23.26","40.00"
