"property_id","booking_platform","total_bookings","total_revenue","avg_revenue_per_booking","cancellations","cancellation_rate","avg_rating"
16558,"others","1304","14937734.00","11455.32","323","24.77","4.28"
16558,"makeyourtrip","616","7022050.00","11399.43","158","25.65","4.29"
16558,"logtrip","351","3996062.00","11384.79","99","28.21","4.13"
16558,"direct online","304","3392522.00","11159.61","81","26.64","4.27"
16558,"tripster","229","2651600.00","11579.04","52","22.71","4.16"
16558,"journey","184","2233168.00","12136.78","33","17.93","4.26"
16558,"direct offline","165","1828036.00","11079.01","44","26.67","4.18"
16559,"others","2978","48377138.00","16244.84","707","23.74","4.33"
16559,"makeyourtrip","1429","22752358.00","15921.87","372","26.03","4.36"
16559,"logtrip","849","13747169.00","16192.19","212","24.97","4.30"
16559,"direct online","761","12195800.00","16026.02","188","24.70","4.33"
16559,"tripster","518","8479872.00","16370.41","132","25.48","4.24"
16559,"journey","439","7130497.00","16242.59","100","22.78","4.26"
16559,"direct offline","364","5765584.00","15839.52","95","26.10","4.43"
16560,"others","1913","22018808.00","11510.09","456","23.84","3.02"
16560,"makeyourtrip","934","10998414.00","11775.60","221","23.66","3.08"
16560,"logtrip","507","6024452.00","11882.55","116","22.88","2.99"
16560,"direct online","455","5387830.00","11841.38","110","24.18","2.93"
16560,"tripster","340","4196346.00","12342.19","86","25.29","2.99"
16560,"journey","292","3394860.00","11626.23","78","26.71","3.04"
16560,"direct offline","252","2911468.00","11553.44","65","25.79","2.93"
16561,"others","1791","23455824.00","13096.50","462","25.80","4.29"
16561,"makeyourtrip","919","11974466.00","13029.89","236","25.68","4.22"
16561,"logtrip","478","6289304.00","13157.54","104","21.76","4.32"
16561,"direct online","427","5437838.00","12734.98","109","25.53","4.27"
16561,"tripster","319","4300968.00","13482.66","91","28.53","4.37"
16561,"journey","257","3359706.00","13072.79","64","24.90","4.21"
16561,"direct offline","227","3115294.00","13723.76","61","26.87","4.27"
16562,"others","1962","23111284.00","11779.45","494","25.18","3.06"
16562,"makeyourtrip","934","10833088.00","11598.60","226","24.20","3.09"
16562,"logtrip","540","6515222.00","12065.23","128","23.70","3.07"
16562,"direct online","505","5912424.00","11707.77","127","25.15","3.05"
16562,"tripster","377","4296096.00","11395.48","105","27.85","2.99"
16562,"journey","281","3180464.00","11318.38","88","31.32","3.15"
16562,"direct offline","221","2588992.00","11714.90","50","22.62","3.08"
16563,"others","2919","36440642.00","12483.95","760","26.04","4.26"
16563,"makeyourtrip","1456","18338880.00","12595.38","353","24.24","4.25"
16563,"logtrip","784","9754906.00","12442.48","168","21.43","4.32"
16563,"direct online","706","8595930.00","12175.54","195","27.62","4.21"
16563,"tripster","500","6206522.00","12413.04","132","26.40","4.32"
16563,"journey","439","5418938.00","12343.82","124","28.25","4.36"
16563,"direct offline","343","4380180.00","12770.20","73","21.28","4.29"
17558,"others","2031","30531898.00","15032.94","503","24.77","3.04"
17558,"makeyourtrip","1063","15957237.00","15011.51","261","24.55","3.01"
17558,"logtrip","570","8308274.00","14575.92","156","27.37","3.09"
17558,"direct online","476","6916076.00","14529.57","127","26.68","3.03"
