"property_id","room_category","potential_revenue","actual_revenue","revenue_loss","percentage_loss"
17562,"RT3","23447760.00","19442832.00","4004928.00","17.08"
16561,"RT4","16840460.00","13985216.00","2855244.00","16.95"
19560,"RT3","21061800.00","17522640.00","3539160.00","16.80"
19561,"RT4","10260000.00","8563680.00","1696320.00","16.53"
19560,"RT4","28975950.00","24218730.00","4757220.00","16.42"
17558,"RT3","28231560.00","23598720.00","4632840.00","16.41"
18563,"RT2","13065300.00","10933380.00","2131920.00","16.32"
16563,"RT4","30451680.00","25516848.00","4934832.00","16.21"
16558,"RT1","10805340.00","9064692.00","1740648.00","16.11"
19563,"RT4","9003150.00","7554780.00","1448370.00","16.09"
18563,"RT4","17426800.00","14640640.00","2786160.00","15.99"
18561,"RT4","10533600.00","8854380.00","1679220.00","15.94"
17564,"RT3","21324120.00","17970360.00","3353760.00","15.73"
17561,"RT4","9425140.00","7944508.00","1480632.00","15.71"
17560,"RT3","26148720.00","22042200.00","4106520.00","15.70"
17561,"RT1","18013710.00","15190656.00","2823054.00","15.67"
19559,"RT2","28304100.00","23897700.00","4406400.00","15.57"
16559,"RT1","20972900.00","17714918.00","3257982.00","15.53"
16562,"RT3","15980160.00","13503504.00","2476656.00","15.50"
19560,"RT1","15840825.00","13384995.00","2455830.00","15.50"
18558,"RT1","4975100.00","4204850.00","770250.00","15.48"
17560,"RT4","20814120.00","17591226.00","3222894.00","15.48"
16562,"RT2","27425160.00","23189292.00","4235868.00","15.45"
18558,"RT2","13689000.00","11575440.00","2113560.00","15.44"
16562,"RT1","14178710.00","11990342.00","2188368.00","15.43"
19560,"RT2","31607550.00","26749980.00","4857570.00","15.37"
17563,"RT2","42599790.00","36054450.00","6545340.00","15.36"
17558,"RT2","39103740.00","33097266.00","6006474.00","15.36"
18562,"RT1","15392000.00","13027430.00","2364570.00","15.36"
17560,"RT2","34815150.00","29477898.00","5337252.00","15.33"
19558,"RT2","22029300.00","18654840.00","3374460.00","15.32"
19563,"RT1","14658150.00","12422865.00","2235285.00","15.25"
16560,"RT3","17297280.00","14660352.00","2636928.00","15.24"
19563,"RT2","30667950.00","25996680.00","4671270.00","15.23"
16561,"RT3","22619520.00","19184256.00","3435264.00","15.19"
19561,"RT2","30877200.00","26194590.00","4682610.00","15.17"
16561,"RT2","18729900.00","15889608.00","2840292.00","15.16"
16563,"RT1","23361520.00","19827262.00","3534258.00","15.13"
19562,"RT2","19653300.00","16678980.00","2974320.00","15.13"
17562,"RT2","19290240.00","16381098.00","2909142.00","15.08"
17563,"RT1","17026945.00","14460472.00","2566473.00","15.07"
19563,"RT3","26616600.00","22621680.00","3994920.00","15.01"
18562,"RT2","19234800.00","16349040.00","2885760.00","15.00"
18563,"RT1","8715200.00","7409480.00","1305720.00","14.98"
17561,"RT3","24749280.00","21050352.00","3698928.00","14.95"
16558,"RT2","17288460.00","14713524.00","2574936.00","14.89"
18563,"RT3","13926000.00","11855280.00","2070720.00","14.87"
16559,"RT3","41709840.00","35506608.00","6203232.00","14.87"
19558,"RT1","16482375.00","14038830.00","2443545.00","14.83"
16563,"RT2","30069900.00","25610256.00","4459644.00","14.83"
18558,"RT3","16116000.00","13730640.00","2385360.00","14.80"
18559,"RT4","15785200.00","13450480.00","2334720.00","14.79"
17558,"RT4","10332770.00","8807564.00","1525206.00","14.76"
17564,"RT2","25907490.00","22094118.00","3813372.00","14.72"
16563,"RT3","21317520.00","18181632.00","3135888.00","14.71"
18561,"RT1","13332150.00","11372790.00","1959360.00","14.70"
18559,"RT1","11389300.00","9717760.00","1671540.00","14.68"
17559,"RT2","37517130.00","32022900.00","5494230.00","14.64"
18562,"RT3","22382400.00","19107120.00","3275280.00","14.63"
19561,"RT3","26737200.00","22825440.00","3911760.00","14.63"
18559,"RT3","11816400.00","10087680.00","1728720.00","14.63"
18560,"RT2","22447800.00","19165140.00","3282660.00","14.62"
17564,"RT1","7371455.00","6293417.00","1078038.00","14.62"
19562,"RT3","33030000.00","28213200.00","4816800.00","14.58"
17559,"RT1","22175140.00","18950308.00","3224832.00","14.54"
16561,"RT1","10378550.00","8874320.00","1504230.00","14.49"
16559,"RT2","38993580.00","33344208.00","5649372.00","14.49"
16560,"RT1","15830360.00","13538798.00","2291562.00","14.48"
18559,"RT2","17058600.00","14588100.00","2470500.00","14.48"
18561,"RT3","19178400.00","16404960.00","2773440.00","14.46"
19562,"RT4","25689900.00","21977490.00","3712410.00","14.45"
18560,"RT3","18192000.00","15565440.00","2626560.00","14.44"
18560,"RT1","12136800.00","10388820.00","1747980.00","14.40"
